IdProveedor;IdProveedorT5;EnAsistco;Prioridad;NombreComercial;TipoServicio;FechaAlta;UsuarioAlta;UltimaModificacion;PrvActivo;FueraRed;Bloqueo;PagoDirecto;PagoUrgente;IdSrvTipo;IdBanco;Banco;SucursalBanco;BancoCuenta;BancoClabe;TarjetaHabiente;RFC;Curp;IdSucursal;NombreSucursal;SucActiva;Oficina_1;EntidadSucursal;MunicipioSucursal;Latitud;Longitud;Direccion;CodigoPostal;"Correo Electrónico_1";Oficina_2;"Correo Electrónico_2";Oficina_3;Negocio_1;Consultorio_1;Persona_1;Casa_1;Celular_1;nota_1_PrvNotaTipo;nota_1_PrvNota;nota_1_Comentario;"Correo Corporativo_1";nota_2_PrvNotaTipo;nota_2_PrvNota;nota_2_Comentario;"Correo Corporativo_2";"Correo Electrónico_3";"Correo Corporativo_3";Oficina_4;"Correo Electrónico_4";"Correo Corporativo_4";Oficina_5;"Correo Electrónico_5";"Correo Corporativo_5";Oficina_6;Fax_1;"Nextel (Radio)_1";Despacho_1;nota_3_PrvNotaTipo;nota_3_PrvNota;nota_3_Comentario;nota_4_PrvNotaTipo;nota_4_PrvNota;nota_4_Comentario;nota_5_PrvNotaTipo;nota_5_PrvNota;nota_5_Comentario;nota_6_PrvNotaTipo;nota_6_PrvNota;nota_6_Comentario;Extension_1;Extension_2;especialidad_1;especialidad_2;especialidad_3;especialidad_4;especialidad_5;especialidad_6;especialidad_7;especialidad_8;especialidad_9;especialidad_10;especialidad_11;especialidad_12;especialidad_13;especialidad_14;especialidad_15;especialidad_16;especialidad_17;especialidad_18;especialidad_19;especialidad_20;especialidad_21;especialidad_22;especialidad_23;especialidad_24;especialidad_25;especialidad_26;especialidad_27;especialidad_28;especialidad_29;especialidad_30;especialidad_31;especialidad_32;especialidad_33;especialidad_34;especialidad_35;especialidad_36;especialidad_37;especialidad_38;especialidad_39;especialidad_40;Negocio_2;Negocio_3;Consultorio_2;"Lada sin costo_1";nota_7_PrvNotaTipo;nota_7_PrvNota;nota_7_Comentario;nota_8_PrvNotaTipo;nota_8_PrvNota;nota_8_Comentario
4785;;No;1;"ARLET ESTETICA Y SPA";"Hospital Tabulado";0000-00-00;"Ana Karen Lopez Giron";2019-04-08;No;No;No;No;No;83;;;;;;;;;565;MEXICALI;0;6865564956;"Baja California";Mexicali;32.6633333333333;-115.467777777778;"CALZ ANÁHUAC 1618, JARDINES DEL LAGO, MEXICALI, BAJA CALIFORNIA, ";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4785;;No;1;"ARLET ESTETICA Y SPA";"Hospital Tabulado";0000-00-00;"Ana Karen Lopez Giron";2019-04-08;No;No;No;No;No;83;;;;;;;;;2261;"MEXICALI - MEXICALI";0;6865564956;"Baja California";Mexicali;32.6633333333333;-115.467777777778;"CALZ ANÁHUAC 1618, JARDINES DEL LAGO, MEXICALI, BAJA CALIFORNIA, ";;resultados@labexpress.com.mx;6646828880;resultados@labexpress.com.mx;6646828880;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8523;;No;1;"CENTRAL DE ESPECIALIDADES MEDICAS LA PAZ";"Hospital Tabulado";0000-00-00;"Thalia García Huerta";2019-04-12;No;No;No;No;No;83;;;;;;;;;585;"LA PAZ";0;0;"Baja California Sur";"La Paz";24.1422222222222;-110.310833333333;"DELFINES NO. 110 Y CARRETERA AL AEROPUERTO KM 4.5, FRACC. FIDEPAZ, LA PAZ, BAJA CALIFORNIA SUR, 23090";23090;0;0;0;0;6121240401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8523;;No;1;"CENTRAL DE ESPECIALIDADES MEDICAS LA PAZ";"Hospital Tabulado";0000-00-00;"Thalia García Huerta";2019-04-12;No;No;No;No;No;83;;;;;;;;;2292;"LA PAZ - LA PAZ";0;6461120147;"Baja California Sur";"La Paz";24.1422222222222;-110.310833333333;"DELFINES NO. 110, SECTOR LA SELVA FIDEPAZ, LA PAZ, BAJA CALIFORNIA SUR, ";;CEM1A@PRODIGY.NET.MX;0;LABORATORIO@BORBOLLA.COM.MX;0;6121240401;6121240400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8832;;No;1;"CENTRO DE ESPECIALIDADES MEDICAS COACALCO";"Hospital Tabulado";0000-00-00;"Thalia García Huerta";2019-04-12;No;No;No;No;No;83;;;;;;;;;593;"COACALCO DE BERRIOZABAL";0;0;México;"Coacalco de Berriozábal";19.6333333333333;-99.0930555555556;"BLVD. COACALCO # 137, VILLA DE LAS FLORES, COACALCO DE BERRIOZABAL, ESTADO DE MÉXICO, 55710";55710;0;0;0;0;0;0;"NANCY MERCADO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8832;;No;1;"CENTRO DE ESPECIALIDADES MEDICAS COACALCO";"Hospital Tabulado";0000-00-00;"Thalia García Huerta";2019-04-12;No;No;No;No;No;83;;;;;;;;;2303;"COACALCO DE BERRIOZABAL - COACALCO DE BERRIOZÁBAL";0;6878725551;México;"Coacalco de Berriozábal";19.6333333333333;-99.0930555555556;"BLVD. COACALCO # 137, VILLA DE LAS FLORES, COACALCO DE BERRIOZABAL, ESTADO DE MÉXICO, 55710";55710;CEMC2023@HOTMAIL.COM;0;labguerrerocentro@hotmail.com;0;58987270;0;"LIC. ARTURO VELAZQUEZ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8856;;No;1;"CENTRO DE ESPECIALIDADES MEDICAS LAS HUASTECAS";"Hospital Tabulado";0000-00-00;"Thalia García Huerta";2019-04-12;No;No;No;No;No;83;;;;;;;;;594;"TUXPAN DE RODRIGUEZ CANO";0;0;"Veracruz de Ignacio de la Llave";Tuxpan;20.9586111111111;-97.3808333333333;"CUAUHTEMOC NO. 82, DEL VALLE, TUXPAN DE RODRIGUEZ CANO, VERACRUZ, ";;ADMINISTRACION@CEMETUX.COM.MX;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8856;;No;1;"CENTRO DE ESPECIALIDADES MEDICAS LAS HUASTECAS";"Hospital Tabulado";0000-00-00;"Thalia García Huerta";2019-04-12;No;No;No;No;No;83;;;;;;;;;2304;"TUXPAN DE RODRIGUEZ CANO - TUXPAM";0;0;"Veracruz de Ignacio de la Llave";Tuxpan;20.9586111111111;-97.3808333333333;"CUAUHTEMOC NO. 82, DEL VALLE, TUXPAN DE RODRIGUEZ CANO, VERACRUZ, ";;ENLACEMEDICO@CEMETUX.COM.MX;0;0;0;7838347401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8886;;No;1;"CENTRO HOSPITALARIO UNION";"Hospital Tabulado";0000-00-00;"Thalia García Huerta";2019-04-12;No;No;No;No;No;83;;;;;;;;;598;"VILLA DE ALVAREZ";0;3123113737;Colima;"Villa de Álvarez";19.2672222222222;-103.737777777778;"ENRIQUE CORONA MORFIN NO. 90, CENTRO, VILLA DE ALVAREZ, COLIMA, ";;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8886;;No;1;"CENTRO HOSPITALARIO UNION";"Hospital Tabulado";0000-00-00;"Thalia García Huerta";2019-04-12;No;No;No;No;No;83;;;;;;;;;2308;"VILLA DE ALVAREZ - VILLA DE ÁLVAREZ";0;3123113737;Colima;"Villa de Álvarez";19.2672222222222;-103.737777777778;"ENRIQUE CORONA MORFIN NO. 90, CENTRO, VILLA DE ALVAREZ, COLIMA, ";;labzausatlixco@gmail.com;2444452696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
